time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.Latitude,.Longitude,.Altitude,.UTM_easting,.UTM_northing,.Zone,.Letter
2022/09/23/11:04:07.280783,212,54247,0,GPS1_Frame,42.33711166666667,-71.09063833333333,39.2,327771.5508160529,4689323.177223988,19,T
2022/09/23/11:04:08.223060,213,54248,0,GPS1_Frame,42.33711166666667,-71.09063833333333,39.2,327771.5508160529,4689323.177223988,19,T
2022/09/23/11:04:09.222086,214,54249,0,GPS1_Frame,42.33711166666667,-71.09063833333333,39.2,327771.5508160529,4689323.177223988,19,T
2022/09/23/11:04:10.285333,215,54250,0,GPS1_Frame,42.33711166666667,-71.09063833333333,39.3,327771.5508160529,4689323.177223988,19,T
2022/09/23/11:04:11.223914,216,54251,0,GPS1_Frame,42.33711166666667,-71.09063833333333,39.3,327771.5508160529,4689323.177223988,19,T
2022/09/23/11:04:12.223069,217,54252,0,GPS1_Frame,42.33711166666667,-71.09063833333333,39.4,327771.5508160529,4689323.177223988,19,T
2022/09/23/11:04:13.279211,218,54253,0,GPS1_Frame,42.33711166666667,-71.09063833333333,39.4,327771.5508160529,4689323.177223988,19,T
2022/09/23/11:04:14.223421,219,54254,0,GPS1_Frame,42.33711166666667,-71.09063833333333,39.4,327771.5508160529,4689323.177223988,19,T
2022/09/23/11:04:15.287023,220,54255,0,GPS1_Frame,42.33711,-71.09063833333333,39.4,327771.54626596416,4689322.99215334,19,T
2022/09/23/11:04:16.225133,221,54256,0,GPS1_Frame,42.33711,-71.09063833333333,39.5,327771.54626596416,4689322.99215334,19,T
2022/09/23/11:04:17.223036,222,54257,0,GPS1_Frame,42.33711,-71.09063833333333,39.5,327771.54626596416,4689322.99215334,19,T
2022/09/23/11:04:18.222784,223,54258,0,GPS1_Frame,42.33711,-71.09063833333333,39.5,327771.54626596416,4689322.99215334,19,T
2022/09/23/11:04:19.225628,224,54259,0,GPS1_Frame,42.33711,-71.09063833333333,39.5,327771.54626596416,4689322.99215334,19,T
2022/09/23/11:04:20.289214,225,54260,0,GPS1_Frame,42.33711,-71.09063833333333,39.5,327771.54626596416,4689322.99215334,19,T
2022/09/23/11:04:21.222662,226,54261,0,GPS1_Frame,42.33711,-71.09063666666665,39.4,327771.68357305066,4689322.988777552,19,T
2022/09/23/11:04:22.221227,227,54262,0,GPS1_Frame,42.33711166666667,-71.09063666666665,39.4,327771.68812313577,4689323.1738482,19,T
2022/09/23/11:04:23.222265,228,54263,0,GPS1_Frame,42.33711166666667,-71.09063666666665,39.4,327771.68812313577,4689323.1738482,19,T
2022/09/23/11:04:24.222486,229,54264,0,GPS1_Frame,42.33711166666667,-71.090635,39.3,327771.8254302144,4689323.170472416,19,T
2022/09/23/11:04:25.285305,230,54265,0,GPS1_Frame,42.33711166666667,-71.090635,39.3,327771.8254302144,4689323.170472416,19,T
2022/09/23/11:04:26.223131,231,54266,0,GPS1_Frame,42.33711166666667,-71.090635,39.3,327771.8254302144,4689323.170472416,19,T
2022/09/23/11:04:27.222201,232,54267,0,GPS1_Frame,42.33711166666667,-71.090635,39.3,327771.8254302144,4689323.170472416,19,T
2022/09/23/11:04:28.222869,233,54268,0,GPS1_Frame,42.33711166666667,-71.09063333333333,39.2,327771.9627372973,4689323.167096633,19,T
2022/09/23/11:04:29.250836,234,54269,0,GPS1_Frame,42.33711166666667,-71.09063333333333,39.2,327771.9627372973,4689323.167096633,19,T
2022/09/23/11:04:30.313530,235,54270,0,GPS1_Frame,42.33711166666667,-71.09063333333333,39.2,327771.9627372973,4689323.167096633,19,T
2022/09/23/11:04:31.254593,236,54271,0,GPS1_Frame,42.33711166666667,-71.09063166666667,39.1,327772.10004437796,4689323.163720855,19,T
2022/09/23/11:04:32.252040,237,54272,0,GPS1_Frame,42.33711166666667,-71.09063166666667,39.1,327772.10004437796,4689323.163720855,19,T
