time,.Header.seq,.Header.stamp.secs,.Header.stamp.nsecs,.Header.frame_id,.Latitude,.Longitude,.Altitude,.UTM_easting,.UTM_northing,.Fix_quality,.Zone,.Letter
2022/10/06/14:57:44.606946,0,68265,0,GPS1_Frame,42.33709716796875,-71.08678436279297,14.199999809265137,328089.0625,4689313.5,4,19,T
2022/10/06/14:57:45.607489,0,68266,0,GPS1_Frame,42.33709716796875,-71.08678436279297,14.199999809265137,328089.09375,4689313.5,4,19,T
2022/10/06/14:57:46.617257,0,68267,0,GPS1_Frame,42.33709716796875,-71.08677673339844,14.199999809265137,328089.375,4689313.5,4,19,T
2022/10/06/14:57:47.600518,0,68268,0,GPS1_Frame,42.337100982666016,-71.0867691040039,14.199999809265137,328090.125,4689314.0,4,19,T
2022/10/06/14:57:48.608673,0,68269,0,GPS1_Frame,42.33710479736328,-71.08676147460938,14.199999809265137,328090.90625,4689314.5,4,19,T
2022/10/06/14:57:49.608903,0,68270,0,GPS1_Frame,42.33710861206055,-71.08675384521484,14.199999809265137,328091.75,4689315.0,4,19,T
2022/10/06/14:57:50.606079,0,68271,0,GPS1_Frame,42.33711242675781,-71.08673858642578,14.100000381469727,328092.59375,4689315.5,4,19,T
2022/10/06/14:57:51.601821,0,68272,0,GPS1_Frame,42.337120056152344,-71.08673095703125,14.100000381469727,328093.375,4689316.0,4,19,T
2022/10/06/14:57:52.602756,0,68273,0,GPS1_Frame,42.33712387084961,-71.08672332763672,14.100000381469727,328094.21875,4689317.0,4,19,T
2022/10/06/14:57:53.604920,0,68274,0,GPS1_Frame,42.33713150024414,-71.08671569824219,14.199999809265137,328095.03125,4689317.5,4,19,T
2022/10/06/14:57:54.603136,0,68275,0,GPS1_Frame,42.33713912963867,-71.08670043945312,14.199999809265137,328095.84375,4689318.0,4,19,T
2022/10/06/14:57:55.626506,0,68276,0,GPS1_Frame,42.33714294433594,-71.0866928100586,14.199999809265137,328096.5625,4689319.0,4,19,T
2022/10/06/14:57:56.595839,0,68277,0,GPS1_Frame,42.33715057373047,-71.08668518066406,14.199999809265137,328097.34375,4689319.5,4,19,T
2022/10/06/14:57:57.602062,0,68278,0,GPS1_Frame,42.337158203125,-71.08667755126953,14.100000381469727,328098.09375,4689320.0,4,19,T
2022/10/06/14:57:58.603010,0,68279,0,GPS1_Frame,42.337162017822266,-71.086669921875,14.100000381469727,328098.90625,4689321.0,4,19,T
2022/10/06/14:57:59.600858,0,68280,0,GPS1_Frame,42.3371696472168,-71.08665466308594,14.199999809265137,328099.65625,4689321.5,4,19,T
2022/10/06/14:58:00.603630,0,68281,0,GPS1_Frame,42.33717727661133,-71.0866470336914,14.199999809265137,328100.5,4689322.5,4,19,T
2022/10/06/14:58:01.601620,0,68282,0,GPS1_Frame,42.337181091308594,-71.08663940429688,14.100000381469727,328101.34375,4689323.0,4,19,T
2022/10/06/14:58:02.612150,0,68283,0,GPS1_Frame,42.337188720703125,-71.08663177490234,14.199999809265137,328102.125,4689323.5,4,19,T
2022/10/06/14:58:03.604533,0,68284,0,GPS1_Frame,42.33719253540039,-71.08661651611328,14.100000381469727,328102.90625,4689324.0,4,19,T
2022/10/06/14:58:04.599548,0,68285,0,GPS1_Frame,42.337196350097656,-71.08660888671875,14.100000381469727,328103.65625,4689324.5,4,19,T
2022/10/06/14:58:05.594520,0,68286,0,GPS1_Frame,42.33720397949219,-71.08660125732422,14.100000381469727,328104.4375,4689325.0,4,19,T
2022/10/06/14:58:06.600887,0,68287,0,GPS1_Frame,42.33720779418945,-71.08659362792969,14.100000381469727,328105.1875,4689326.0,4,19,T
2022/10/06/14:58:07.596414,0,68288,0,GPS1_Frame,42.337215423583984,-71.08658599853516,14.100000381469727,328105.96875,4689326.5,4,19,T
2022/10/06/14:58:08.600343,0,68289,0,GPS1_Frame,42.337223052978516,-71.0865707397461,14.100000381469727,328106.8125,4689327.0,4,19,T
2022/10/06/14:58:09.603884,0,68290,0,GPS1_Frame,42.33722686767578,-71.08656311035156,14.100000381469727,328107.53125,4689328.0,4,19,T
2022/10/06/14:58:10.597319,0,68291,0,GPS1_Frame,42.33723449707031,-71.08655548095703,14.100000381469727,328108.3125,4689328.5,4,19,T
2022/10/06/14:58:11.600208,0,68292,0,GPS1_Frame,42.33723831176758,-71.0865478515625,14.100000381469727,328109.15625,4689329.0,4,19,T
2022/10/06/14:58:12.600275,0,68293,0,GPS1_Frame,42.33724594116211,-71.08653259277344,14.0,328110.0,4689330.0,4,19,T
2022/10/06/14:58:13.607140,0,68294,0,GPS1_Frame,42.33725357055664,-71.0865249633789,14.0,328110.90625,4689330.5,4,19,T
2022/10/06/14:58:14.592349,0,68295,0,GPS1_Frame,42.33726119995117,-71.08650970458984,14.0,328111.78125,4689331.0,4,19,T
2022/10/06/14:58:15.602596,0,68296,0,GPS1_Frame,42.33726501464844,-71.08650207519531,14.0,328112.59375,4689332.0,4,19,T
2022/10/06/14:58:16.599988,0,68297,0,GPS1_Frame,42.33727264404297,-71.08649444580078,14.0,328113.3125,4689333.0,4,19,T
2022/10/06/14:58:17.613286,0,68298,0,GPS1_Frame,42.337284088134766,-71.08649444580078,14.0,328113.46875,4689334.0,4,19,T
2022/10/06/14:58:18.618539,0,68299,0,GPS1_Frame,42.3372917175293,-71.08649444580078,14.0,328113.28125,4689335.0,4,19,T
2022/10/06/14:58:19.609159,0,68300,0,GPS1_Frame,42.337303161621094,-71.08650207519531,14.0,328112.875,4689336.0,4,19,T
2022/10/06/14:58:20.607290,0,68301,0,GPS1_Frame,42.337310791015625,-71.08650970458984,14.0,328112.40625,4689337.0,4,19,T
2022/10/06/14:58:21.598573,0,68302,0,GPS1_Frame,42.337318420410156,-71.08651733398438,14.100000381469727,328111.875,4689338.0,4,19,T
2022/10/06/14:58:22.603726,0,68303,0,GPS1_Frame,42.33732986450195,-71.0865249633789,14.0,328111.34375,4689339.0,4,19,T
2022/10/06/14:58:23.599411,0,68304,0,GPS1_Frame,42.337337493896484,-71.0865249633789,14.100000381469727,328110.78125,4689340.0,4,19,T
2022/10/06/14:58:24.608580,0,68305,0,GPS1_Frame,42.337345123291016,-71.08654022216797,14.0,328110.03125,4689340.5,4,19,T
2022/10/06/14:58:25.591665,0,68306,0,GPS1_Frame,42.33735275268555,-71.0865478515625,14.100000381469727,328109.15625,4689341.5,4,19,T
2022/10/06/14:58:26.605120,0,68307,0,GPS1_Frame,42.33735656738281,-71.08655548095703,14.0,328108.28125,4689342.0,4,19,T
2022/10/06/14:58:27.603472,0,68308,0,GPS1_Frame,42.337364196777344,-71.0865707397461,14.100000381469727,328107.53125,4689343.0,4,19,T
2022/10/06/14:58:28.601412,0,68309,0,GPS1_Frame,42.337371826171875,-71.08657836914062,14.100000381469727,328106.65625,4689344.0,4,19,T
2022/10/06/14:58:29.613096,0,68310,0,GPS1_Frame,42.337379455566406,-71.08659362792969,14.100000381469727,328105.78125,4689344.5,4,19,T
2022/10/06/14:58:30.600160,0,68311,0,GPS1_Frame,42.33738327026367,-71.08660125732422,13.899999618530273,328104.96875,4689345.5,4,19,T
2022/10/06/14:58:31.593315,0,68312,0,GPS1_Frame,42.3373908996582,-71.08660888671875,13.600000381469727,328104.03125,4689346.0,5,19,T
2022/10/06/14:58:32.601558,0,68313,0,GPS1_Frame,42.337398529052734,-71.08662414550781,13.5,328103.25,4689347.0,2,19,T
