time,.Header.seq,.Header.stamp.secs,.Header.stamp.nsecs,.Header.frame_id,.Latitude,.Longitude,.Altitude,.UTM_easting,.UTM_northing,.Fix_quality,.Zone,.Letter
2022/10/06/14:45:45.593965,0,67546,0,GPS1_Frame,42.3371696472168,-71.0868148803711,12.300000190734863,328086.625,4689322.0,4,19,T
2022/10/06/14:45:46.591839,0,67547,0,GPS1_Frame,42.3371696472168,-71.0868148803711,12.399999618530273,328086.65625,4689322.0,4,19,T
2022/10/06/14:45:47.588462,0,67548,0,GPS1_Frame,42.3371696472168,-71.0868148803711,12.399999618530273,328086.6875,4689322.0,4,19,T
2022/10/06/14:45:48.591514,0,67549,0,GPS1_Frame,42.3371696472168,-71.0868148803711,12.399999618530273,328086.71875,4689322.0,4,19,T
2022/10/06/14:45:49.591421,0,67550,0,GPS1_Frame,42.3371696472168,-71.0868148803711,12.300000190734863,328086.71875,4689321.5,4,19,T
2022/10/06/14:45:50.591224,0,67551,0,GPS1_Frame,42.3371696472168,-71.0868148803711,12.399999618530273,328086.75,4689321.5,4,19,T
2022/10/06/14:45:51.593109,0,67552,0,GPS1_Frame,42.3371696472168,-71.0868148803711,12.399999618530273,328086.75,4689322.0,4,19,T
2022/10/06/14:45:52.593707,0,67553,0,GPS1_Frame,42.3371696472168,-71.0868148803711,12.399999618530273,328086.6875,4689322.0,4,19,T
2022/10/06/14:45:53.592507,0,67554,0,GPS1_Frame,42.3371696472168,-71.0868148803711,12.399999618530273,328086.65625,4689322.0,4,19,T
2022/10/06/14:45:54.595320,0,67555,0,GPS1_Frame,42.3371696472168,-71.0868148803711,12.399999618530273,328086.625,4689322.0,4,19,T
2022/10/06/14:45:55.600498,0,67556,0,GPS1_Frame,42.3371696472168,-71.0868148803711,12.399999618530273,328086.65625,4689322.0,4,19,T
2022/10/06/14:45:56.588014,0,67557,0,GPS1_Frame,42.3371696472168,-71.0868148803711,12.399999618530273,328086.65625,4689322.0,4,19,T
2022/10/06/14:45:57.592370,0,67558,0,GPS1_Frame,42.3371696472168,-71.0868148803711,12.399999618530273,328086.65625,4689322.0,4,19,T
2022/10/06/14:45:58.594092,0,67559,0,GPS1_Frame,42.3371696472168,-71.0868148803711,12.399999618530273,328086.6875,4689322.0,4,19,T
2022/10/06/14:45:59.591793,0,67560,0,GPS1_Frame,42.3371696472168,-71.0868148803711,12.399999618530273,328086.6875,4689322.0,4,19,T
2022/10/06/14:46:00.594124,0,67561,0,GPS1_Frame,42.3371696472168,-71.0868148803711,12.399999618530273,328086.71875,4689322.0,4,19,T
2022/10/06/14:46:01.590853,0,67562,0,GPS1_Frame,42.3371696472168,-71.0868148803711,12.399999618530273,328086.71875,4689322.0,4,19,T
2022/10/06/14:46:02.597221,0,67563,0,GPS1_Frame,42.3371696472168,-71.0868148803711,12.399999618530273,328086.71875,4689322.0,4,19,T
2022/10/06/14:46:03.592234,0,67564,0,GPS1_Frame,42.3371696472168,-71.0868148803711,12.399999618530273,328086.71875,4689322.0,4,19,T
2022/10/06/14:46:04.601213,0,67565,0,GPS1_Frame,42.3371696472168,-71.0868148803711,12.399999618530273,328086.71875,4689322.0,4,19,T
2022/10/06/14:46:05.587219,0,67566,0,GPS1_Frame,42.3371696472168,-71.0868148803711,12.399999618530273,328086.71875,4689322.0,4,19,T
2022/10/06/14:46:06.593694,0,67567,0,GPS1_Frame,42.3371696472168,-71.0868148803711,12.399999618530273,328086.71875,4689322.0,4,19,T
2022/10/06/14:46:07.588577,0,67568,0,GPS1_Frame,42.3371696472168,-71.0868148803711,12.399999618530273,328086.71875,4689322.0,4,19,T
2022/10/06/14:46:08.598417,0,67569,0,GPS1_Frame,42.3371696472168,-71.0868148803711,12.399999618530273,328086.71875,4689322.0,4,19,T
2022/10/06/14:46:09.600193,0,67570,0,GPS1_Frame,42.3371696472168,-71.0868148803711,12.399999618530273,328086.71875,4689322.0,4,19,T
2022/10/06/14:46:10.594804,0,67571,0,GPS1_Frame,42.3371696472168,-71.0868148803711,12.399999618530273,328086.71875,4689322.0,4,19,T
2022/10/06/14:46:11.596369,0,67572,0,GPS1_Frame,42.3371696472168,-71.0868148803711,12.399999618530273,328086.6875,4689322.0,4,19,T
2022/10/06/14:46:12.595581,0,67573,0,GPS1_Frame,42.3371696472168,-71.0868148803711,12.399999618530273,328086.6875,4689322.0,4,19,T
2022/10/06/14:46:13.594167,0,67574,0,GPS1_Frame,42.3371696472168,-71.0868148803711,12.399999618530273,328086.65625,4689322.0,4,19,T
2022/10/06/14:46:14.599883,0,67575,0,GPS1_Frame,42.3371696472168,-71.0868148803711,12.399999618530273,328086.65625,4689322.0,4,19,T
2022/10/06/14:46:15.594689,0,67576,0,GPS1_Frame,42.3371696472168,-71.0868148803711,12.399999618530273,328086.65625,4689322.0,4,19,T
2022/10/06/14:46:16.592499,0,67577,0,GPS1_Frame,42.3371696472168,-71.0868148803711,12.399999618530273,328086.65625,4689322.0,4,19,T
2022/10/06/14:46:17.594030,0,67578,0,GPS1_Frame,42.3371696472168,-71.0868148803711,12.399999618530273,328086.65625,4689322.0,4,19,T
